"","SRR8207876","SRR8207877","SRR8207878","SRR8207879","SRR8207880","SRR8207881","SRR8207882","SRR8207883","SRR8207884","SRR8207885","SRR8207886","SRR8207887","SRR8207888","SRR8207889","SRR8207890"
"ITGA9",5.72859592363518,4.88587410963167,4.82547353637459,5.17534878519859,4.46783098295469,6.73889362327477,5.82972124393927,6.87852056103515,5.97679820831763,6.02120946866572,7.27219530227007,6.20660778880417,6.74848430798144,6.95911956103906,5.48980513202566
"STAR",3.92032837436133,3.24053827812802,3.71043633126018,4.3597120928102,4.30899738995106,5.55711429773786,4.58407807185892,5.46967684208171,4.86271092820785,4.58905486026541,5.34078602289999,5.53649087571437,5.67105586579288,5.86931262383357,5.65433115899779
"CCDC175",6.00425359687013,6.65045248000786,7.16219151094617,7.3523365314385,5.97222721389111,5.35463735400718,4.57681680928772,5.34076078304801,5.84975951123862,4.5200869495689,3.24053827812802,4.42949972303213,3.82630358077178,4.53392267667158,3.99174434746644
"GPATCH11",7.51663655837081,7.15081017657972,6.79729014176239,7.35357618969642,6.63964315251865,8.32520291275198,7.68397921068245,7.79226082084048,7.67166713723735,8.62398505122842,8.2670220153975,8.57480238012969,8.9087374656397,9.14338054829306,8.62082952343024
"SEPTIN14",5.21374773990458,4.91553292180457,5.15520310558768,5.3176427257313,4.43227587698654,6.33184591483998,5.51391672479082,5.80544391514311,5.98912731448168,7.39310039972379,6.57264809571311,6.88035639906833,6.19626781771094,6.49951059524379,6.97467795227996
"B4GALT5",9.84906639820926,9.54678333270357,9.32592558648586,9.4094315531161,9.29622031418687,10.4154075106609,9.59578884690906,10.7751261553137,10.5517706785752,11.0414631532605,11.9363760597983,11.5023198948875,11.5064677755002,10.4452569740492,11.556307464174
"ZNF704",3.93731317133043,7.8456809189486,4.00011446657578,8.98744087100344,3.97396889636889,4.07110413423023,3.24053827812802,3.74715289924998,3.54044417925061,4.11679327740495,3.80118759339623,3.9711358915399,4.34595743203961,6.28371784820755,3.98241031614765
"ZBTB43",7.46821676895454,7.91162790044822,7.41594742488177,7.47398643646664,7.37621791358602,9.20454664994742,10.0188715348076,8.78150445041043,8.0442598025806,8.39532184664139,9.72725960090754,9.97690311418055,9.89354859919379,9.41663095166838,9.69358983806099
"CHD3",10.1432481828533,9.90599581140263,11.0467882849593,10.3835200577683,10.5152425573257,11.5386044433206,10.8059084532212,11.1795108401753,10.9756810870036,12.3768394335897,12.47843909006,12.6974886220208,12.2448021068075,12.4310425477612,12.5255585260645
"NPAS2",3.89346054128047,3.92263488563263,4.89101488193116,3.92380368315032,3.9653538802165,6.12061523236833,4.16026047269684,5.62975532699242,5.0373566166706,6.3499471124635,6.36330321621584,6.62248417503843,4.79533126978523,6.31934981964639,5.31344708243731
"DRC3",6.48883536214059,5.69377875041593,3.40327223345388,3.68352869335502,7.42217272417769,3.24053827812802,3.24053827812802,3.24053827812802,4.374561820633,3.70856848223098,4.23451556679917,4.35327429837528,4.9254916810962,4.56593063405584,4.53877828419852
"CADM2",3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.7347964201058,4.62995751199897,5.05102506360419,6.00892317159332,3.47840285691344,5.29363432272713,3.24053827812802,3.24053827812802,3.24053827812802,3.4960056536368,3.24053827812802
"C2orf69",7.42787333270721,7.72960859251026,7.48565833807961,7.31939367454817,6.71019976243501,8.33698483874698,8.28715604739012,8.29490402830663,7.9897260866711,8.7452827803775,7.59324521712592,7.83279602884759,8.42744768207652,8.33880880626092,8.45704432490851
"CPNE7",4.43972202552427,3.84199782418989,4.77220085460717,5.87080568372825,5.7006436826808,3.24053827812802,3.24053827812802,3.94758924380794,3.81529042454488,4.08174681923342,3.52095706862406,4.22874501979634,3.86503003641248,4.38028472485199,4.2097063123934
"TSHZ2",6.80278082491564,7.80207419197449,7.76000332555846,7.37160984481546,7.72155135745159,8.47405398377309,9.44570052187776,9.20277979651416,8.15647045245376,8.77129866125719,8.90928651781854,9.54458522808718,9.05789597418825,9.58031142473308,8.34595177013675
"ZNF774",3.86540362492535,3.24053827812802,3.87215419929704,3.58674475209317,3.68986239447222,4.72368338831402,4.52636368939675,4.62999260375686,5.08692600024844,5.16903682849663,4.78172400058829,4.96243677427763,5.38938708422419,5.71595298663124,4.53459453426643
"SVIL",9.11857481528422,8.9101013877374,9.43684961547276,9.3503391383428,9.26854652652591,10.3319543043973,9.91849406972313,10.4247459068295,9.91654514884321,11.0701463889094,11.7683191199227,11.8966191840456,11.775713566144,10.8740073679461,11.7957418963567
"KLHL14",6.59653085003118,6.46215798551098,6.77358837257347,6.9401993906791,7.75849876361536,7.25052138820845,8.41635604188174,9.86584508014557,8.6377513710207,7.43577423457374,5.14485185157737,6.44648744832869,6.93390910641551,6.75895539484936,6.27085070656337
"BZW1P2",3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,7.69011742885416,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,8.27690718180886,7.66243852875515,8.37488110270994,6.98375929937027,7.22855767721876
"UNC13B",5.84922231554728,6.60442517282009,5.67355920322136,6.85774669970542,5.40090195084079,7.72294974498129,8.13927084607421,8.4924319726106,5.70808847739062,6.99996069986667,5.87184545122573,5.62668621606053,5.8809839547443,5.19987160888256,5.41518758874248
"C6orf136",7.99226881832522,8.22379801062662,7.87113644685256,7.60006626862158,8.20600520076959,6.86423949917228,7.70190310330254,6.42704425783938,7.21408992046077,6.82107208281727,6.81208542761574,6.2631938102691,6.48787861089971,6.27910651085191,6.41949997965027
"C2orf91",3.68307173135987,4.3340367057007,3.87072171869874,4.45207840331506,3.84897456496081,5.23956041836243,4.96401828110686,5.05160219129869,5.46936541650962,4.96842452911781,5.8503261694361,6.26812197411418,6.39080032228384,6.57083036082241,6.41093055527207
"CDKL4",4.46740380948915,5.04348364543726,5.70182406202357,5.95135801114018,4.86226533073734,3.92472868962139,3.24053827812802,3.24053827812802,3.80010239636815,3.91403591516698,3.67208643037302,3.59846115354106,3.84812011615504,3.98085669282556,3.68506043460937
"LINC00205",7.07673218245485,6.81144804624396,7.19679829994894,6.89511443677463,6.42290218356371,7.84257111370488,7.33411664378694,9.07493219996438,8.18539536676293,8.49955937392085,7.57574599397119,8.83988199402957,7.94785392598977,7.57258001703335,7.74756602841757
"CFL1P1",3.46135248121436,3.87832060641537,3.55589398854053,4.14842451487226,3.24053827812802,4.58497520268352,4.03747253114439,4.98212737881958,4.06501392935408,5.2373157576428,4.5880442469216,5.37082745543743,4.55954581313203,5.52354560371531,4.86979558910499
"LINC00343",6.48623765345327,6.20302604967544,6.71584076073157,6.32934582041484,6.6678820850615,8.09955912094513,6.199887092379,7.43827671278167,7.43432140786714,8.10173205714024,8.53356989895615,8.98017445469008,9.3097759680974,9.29306515113317,9.83142074809137
"",3.24053827812802,4.13998665243651,3.68836241674518,3.24053827812802,4.50228727886772,4.93829534174046,4.52136060272914,5.19108655823512,4.98689135532033,5.04466126727081,5.39925866251272,6.20821277732758,5.37336054051468,5.72309323075018,6.03036227861671
