"","SRR8207881","SRR8207882","SRR8207883","SRR8207884","SRR8207885","SRR8207886","SRR8207887","SRR8207888","SRR8207889","SRR8207890"
"SLC6A13",3.0627542887002,3.0627542887002,3.0627542887002,3.0627542887002,3.0627542887002,4.75639953026778,4.27601052455475,4.5356602481873,4.29740359140897,4.43164593422098
"IDS",10.9983540754363,10.7776606897039,11.4385678029953,11.3837002135678,12.29572435143,13.0913034449527,13.0629636939415,12.5998030443096,11.9641069792881,12.5019075746611
"MRC2",6.46879927540569,6.28678075690107,6.11865193395215,4.95081422628932,6.17222043510981,5.42707207050561,4.72900844348574,4.40493141825765,5.00071316146558,5.71492142651333
"NME1-NME2",6.26219939170259,6.53235104930534,5.71243844890217,4.71692814994545,5.77042906842922,3.78575520626389,4.21170617595595,4.93382316751019,4.61967434618105,3.80764782624132
"TSPAN9",7.94764187637613,6.34926601318216,8.6793328652755,8.22839400089051,8.08923387656895,5.64418605812149,5.86330043302575,7.52981008158766,6.18119347765662,6.90148404184616
"ABHD5",9.97745772803493,9.472862969573,10.4152320397444,10.1888807812888,10.6159137103803,11.6491087393314,11.6275015302287,11.1781640034912,10.2050485998105,11.2200511371667
"ANLN",6.12371110028358,8.67098176709058,6.61434053639316,6.43267097803862,5.73950482286127,6.72240329368041,5.87572288607943,5.01350443807746,5.00665036000166,5.25113119526466
"TYROBP",12.7948874652588,14.1193761777438,12.4850006300056,14.0472111871517,13.1067074299413,13.0388854589094,12.4028347788771,12.0113326853482,11.4002415153685,12.1174458047825
"LTF",11.866315148119,11.322763302253,14.229750552077,9.58635414092506,11.9807806023605,10.9547937120017,11.0561672994195,9.87342998990685,10.4330217754742,9.34997139631453
"PSMC4",10.3032681618334,11.0639675930722,10.3848374132769,10.3450734362881,9.75358920598634,9.51711122636265,9.49995805260354,9.40046929051954,9.29132026767964,9.07468833182469
"SLC7A14",6.06948913793108,5.26021242551607,5.46127114446019,5.49720133068598,6.12674212912509,6.99533618463634,7.03636147754808,6.69511207352208,6.5933918759122,6.78159765264711
"SLC25A39",9.14051649036204,9.34926435830852,10.9039341968974,9.46036708177568,9.25778568688072,8.37911821589125,8.34429547140993,8.34382566788853,8.46224739553663,8.82394448213351
"UFL1",10.7118731499215,11.2182041323304,10.6035493547722,10.77206603079,10.1166643299341,8.77317331768419,9.43228643056952,9.61666141832772,9.91955911693088,9.62868178420799
"CHDH",6.50557030520414,6.799052231287,6.80682836291719,6.29855110504689,6.48133772454038,7.48443567794989,7.55363354943783,7.57240310264817,7.76397065136212,7.69857994114227
"SLC38A5",7.40615068303795,8.93319714632013,8.72193758151319,8.12598550540844,7.841293993956,7.42023160405347,6.98555274291205,7.05716733515616,7.54927234346896,7.10049949875744
